,precision,recall,f1-score,support,roc_auc
0,0.9207232267037552,0.9645458960660515,0.9421252371916509,2059.0,
1,0.7429577464788732,0.5523560209424084,0.6336336336336337,382.0,
accuracy,0.9000409668168783,0.9000409668168783,0.9000409668168783,0.9000409668168783,
macro avg,0.8318404865913143,0.7584509585042299,0.7878794354126423,2441.0,
weighted avg,0.8929041306587306,0.9000409668168783,0.8938483864914614,2441.0,
